"time","part5_displacement_output"
9.121,2.9169805219451916E+02
9.122,2.9193441738538348E+02
9.123,2.9217051782644410E+02
9.124,2.9240635319334785E+02
9.125,2.9264192316328473E+02
9.126,2.9287722812416462E+02
9.127,2.9311226775386615E+02
9.128,2.9334704173180944E+02
9.129,2.9358155044573635E+02
9.13,2.9381579357575430E+02
9.131,2.9404977080351887E+02
9.132,2.9428348251660128E+02
9.133,2.9451692839734284E+02
9.134,2.9475010812963080E+02
9.135,2.9498302210086814E+02
9.136,2.9521566999562964E+02
9.137,2.9544805150004112E+02
9.138,2.9568016700132949E+02
9.139,2.9591201618631135E+02
9.14,2.9614359874334491E+02
9.141,2.9637491505948884E+02
9.142,2.9660596482379509E+02
9.143,2.9683674772686260E+02
9.144,2.9706726415557711E+02
9.145,2.9729751380122991E+02
9.146,2.9752749635666117E+02
9.147,2.9775721220858344E+02
9.148,2.9798666105052916E+02
9.149,2.9821584257758036E+02
9.15,2.9844475717627773E+02
9.151,2.9867340454239377E+02
9.152,2.9890178437325670E+02
9.153,2.9912989705523319E+02
9.154,2.9935774228634085E+02
9.155,2.9958531976615160E+02
9.156,2.9981262988085854E+02
9.157,3.0003967233072638E+02
9.158,3.0026644681757415E+02
9.159,3.0049295372742125E+02
9.16,3.0071919276277691E+02
9.161,3.0094516385472269E+02
9.162,3.0117086670807390E+02
9.163,3.0139630170861756E+02
9.164,3.0162146856186581E+02
9.165,3.0184636697488759E+02
9.166,3.0207099733329449E+02
9.167,3.0229535934485057E+02
9.168,3.0251945271887729E+02
9.169,3.0274327784081288E+02
9.17,3.0296683442067217E+02
9.171,3.0319012217003353E+02
9.172,3.0341314147416011E+02
9.173,3.0363589204532116E+02
9.174,3.0385837359735228E+02
9.175,3.0408058651534139E+02
9.176,3.0430253051381612E+02
9.177,3.0452420530886695E+02
9.178,3.0474561128541012E+02
