"time","TRes"
1.502,2.9866177447790227E+002
1.504,2.9866067212321099E+002
1.506,2.9865956998899060E+002
1.508,2.9865846807519711E+002
1.51,2.9865736638178635E+002
1.512,2.9865626490871426E+002
1.514,2.9865516365593680E+002
1.516,2.9865406262340991E+002
1.518,2.9865296181108948E+002
1.52,2.9865186121893151E+002
1.522,2.9865076084689201E+002
1.524,2.9864966069492692E+002
1.526,2.9864856076299219E+002
1.528,2.9864746105104388E+002
1.53,2.9864636155903793E+002
1.532,2.9864526228693040E+002
1.534,2.9864416323467731E+002
1.536,2.9864306440223464E+002
1.538,2.9864196578955847E+002
1.54,2.9864086739660485E+002
1.542,2.9863976922332978E+002
1.544,2.9863867126968938E+002
1.546,2.9863757353563972E+002
1.548,2.9863647602113684E+002
1.55,2.9863537872613688E+002
1.552,2.9863428165059594E+002
1.554,2.9863318479447008E+002
1.556,2.9863208815771543E+002
1.558,2.9863099174028815E+002
1.56,2.9862989554214437E+002
1.562,2.9862879956324019E+002
1.564,2.9862770380353180E+002
1.566,2.9862660826297537E+002
1.568,2.9862551294152701E+002
1.57,2.9862441783914295E+002
1.572,2.9862332295577937E+002
1.574,2.9862222829139245E+002
1.576,2.9862113384593840E+002
1.578,2.9862003961937347E+002
1.58,2.9861894561165383E+002
1.582,2.9861785182273576E+002
1.584,2.9861675825257544E+002
1.586,2.9861566490112915E+002
1.588,2.9861457176835319E+002
1.59,2.9861347885420378E+002
1.592,2.9861238615863721E+002
1.594,2.9861129368160971E+002
1.596,2.9861020142307763E+002
1.598,2.9860910938299725E+002
1.6,2.9860801756132491E+002
1.602,2.9860692595801692E+002
1.604,2.9860583457302954E+002
1.606,2.9860474340631919E+002
1.608,2.9860365245784214E+002
1.61,2.9860256172755481E+002
1.612,2.9860147121541354E+002
1.614,2.9860038092137466E+002
1.616,2.9859929084539465E+002
1.618,2.9859820098742978E+002
1.62,2.9859711134743651E+002
1.622,2.9859602192537125E+002
1.624,2.9859493272119039E+002
1.626,2.9859384373485040E+002
1.628,2.9859275496630767E+002
1.63,2.9859166641551866E+002
1.632,2.9859057808243978E+002
1.634,2.9858948996702753E+002
1.636,2.9858840206923833E+002
1.638,2.9858731438902868E+002
1.64,2.9858622692635510E+002
1.642,2.9858513968117404E+002
1.644,2.9858405265344203E+002
1.646,2.9858296584311557E+002
1.648,2.9858187925015119E+002
1.65,2.9858079287450539E+002
1.652,2.9857970671613469E+002
1.654,2.9857862077499567E+002
1.656,2.9857753505104489E+002
1.658,2.9857644954423887E+002
1.66,2.9857536425453424E+002
1.662,2.9857427918188756E+002
1.664,2.9857319432625542E+002
1.666,2.9857210968759438E+002
1.668,2.9857102526586107E+002
1.67,2.9856994106101212E+002
1.672,2.9856885707300410E+002
1.674,2.9856777330179369E+002
1.676,2.9856668974733753E+002
1.678,2.9856560640959225E+002
1.68,2.9856452328851452E+002
1.682,2.9856344038406104E+002
1.684,2.9856235769618843E+002
1.686,2.9856127522485338E+002
1.688,2.9856019297001262E+002
1.69,2.9855911093162280E+002
1.692,2.9855802910964070E+002
1.694,2.9855694750402296E+002
1.696,2.9855586611472637E+002
1.698,2.9855478494170762E+002
1.7,2.9855370398492346E+002
1.702,2.9855262324433068E+002
1.704,2.9855154271988602E+002
1.706,2.9855046241154622E+002
1.708,2.9854938231926809E+002
1.71,2.9854830244300842E+002
1.712,2.9854722278272402E+002
1.714,2.9854614333837168E+002
1.716,2.9854506410990820E+002
1.718,2.9854398509729043E+002
1.72,2.9854290630047518E+002
1.722,2.9854182771941930E+002
1.724,2.9854074935407959E+002
1.726,2.9853967120441297E+002
1.728,2.9853859327037628E+002
1.73,2.9853751555192639E+002
1.732,2.9853643804902021E+002
