"time","level","level2","level3"
31.32,1.0000000000000000E+002,1.0000000000000000E+002,1.5416669845581055E-001
31.44,1.0000000000000000E+002,1.0000000000000000E+002,2.1781253814697266E-001
31.56,1.0000000000000000E+002,1.0000000000000000E+002,3.4270837903022766E-001
31.68,1.0000000000000000E+002,1.0000000000000000E+002,4.4802084565162659E-001
31.8,9.9993331909179687E+001,9.9993331909179687E+001,5.7291662693023682E-001
31.92,9.9915626525878906E+001,9.9915626525878906E+001,8.0062496662139893E-001
32.04,9.9813644409179688E+001,9.9813644409179688E+001,9.8177069425582886E-001
32.16,9.9581245422363281E+001,9.9581245422363281E+001,1.3016664981842041E+000
32.28,9.9370925903320313E+001,9.9370925903320313E+001,1.5494788885116577E+000
32.4,9.9114364624023438E+001,9.9114364624023438E+001,1.8268744945526123E+000
32.52,9.8647460937500000E+001,9.8647460937500000E+001,2.2980201244354248E+000
32.64,9.8314125061035156E+001,9.8314125061035156E+001,2.6313533782958984E+000
32.76,9.7814117431640625E+001,9.7814117431640625E+001,3.1313531398773193E+000
32.88,9.7480781555175781E+001,9.7480781555175781E+001,3.4646866321563721E+000
33,9.7147445678710938E+001,9.7147445678710938E+001,3.7980201244354248E+000
33.12,9.6647438049316406E+001,9.6647438049316406E+001,4.2980203628540039E+000
33.24,9.6314102172851563E+001,9.6314102172851563E+001,4.6313543319702148E+000
33.36,9.5814094543457031E+001,9.5814094543457031E+001,5.1313543319702148E+000
33.48,9.5480758666992188E+001,9.5480758666992188E+001,5.4646883010864258E+000
33.6,9.5147415161132813E+001,9.5147415161132813E+001,5.7980217933654785E+000
33.72,9.4647415161132812E+001,9.4647415161132812E+001,6.2980222702026367E+000
33.84,9.4314071655273438E+001,9.4314071655273438E+001,6.6313552856445313E+000
33.96,9.3814071655273438E+001,9.3814071655273438E+001,7.1313543319702148E+000
34.08,9.3480728149414063E+001,9.3480728149414063E+001,7.4646873474121094E+000
34.2,9.3147392272949219E+001,9.3147392272949219E+001,7.7980203628540039E+000
34.32,9.2647384643554688E+001,9.2647384643554688E+001,8.2980194091796875E+000
34.44,9.2314048767089844E+001,9.2314048767089844E+001,8.6313524246215820E+000
34.56,9.1814041137695313E+001,9.1814041137695313E+001,9.1313514709472656E+000
34.68,9.1480705261230469E+001,9.1480705261230469E+001,9.4646844863891602E+000
34.8,9.1147369384765625E+001,9.1147369384765625E+001,9.7980175018310547E+000
34.92,9.0647361755371094E+001,9.0647361755371094E+001,1.0298016548156738E+001
35.04,9.0314025878906250E+001,9.0314025878906250E+001,1.0631349563598633E+001
35.16,8.9814018249511719E+001,8.9814018249511719E+001,1.1131348609924316E+001
35.28,8.9480682373046875E+001,8.9480682373046875E+001,1.1464681625366211E+001
35.4,8.9147346496582031E+001,8.9147346496582031E+001,1.1798013687133789E+001
35.52,8.8647338867187500E+001,8.8647338867187500E+001,1.2298013687133789E+001
35.64,8.8314002990722656E+001,8.8314002990722656E+001,1.2631345748901367E+001
35.76,8.7813995361328125E+001,8.7813995361328125E+001,1.3131345748901367E+001
35.88,8.7480659484863281E+001,8.7480659484863281E+001,1.3464680671691895E+001
36,8.7147323608398438E+001,8.7147323608398438E+001,1.3798014640808105E+001
36.12,8.6647315979003906E+001,8.6647315979003906E+001,1.4298016548156738E+001
36.24,8.6313980102539063E+001,8.6313980102539063E+001,1.4631350517272949E+001
36.36,8.5813972473144531E+001,8.5813972473144531E+001,1.5131352424621582E+001
36.48,8.5480636596679688E+001,8.5480636596679688E+001,1.5464686393737793E+001
36.6,8.5147293090820312E+001,8.5147293090820312E+001,1.5798021316528320E+001
36.72,8.4647293090820312E+001,8.4647293090820312E+001,1.6298023223876953E+001
36.84,8.4313949584960938E+001,8.4313949584960938E+001,1.6631357192993164E+001
36.96,8.3813949584960938E+001,8.3813949584960938E+001,1.7131359100341797E+001
37.08,8.3480606079101563E+001,8.3480606079101563E+001,1.7464693069458008E+001
37.2,8.3147270202636719E+001,8.3147270202636719E+001,1.7798027038574219E+001
37.32,8.2647262573242188E+001,8.2647262573242188E+001,1.8298028945922852E+001
37.44,8.2313926696777344E+001,8.2313926696777344E+001,1.8631362915039063E+001
37.56,8.1813919067382812E+001,8.1813919067382812E+001,1.9131364822387695E+001
37.68,8.1480583190917969E+001,8.1480583190917969E+001,1.9464698791503906E+001
37.8,8.1147247314453125E+001,8.1147247314453125E+001,1.9798032760620117E+001
37.92,8.0647239685058594E+001,8.0647239685058594E+001,2.0298034667968750E+001
38.04,8.0313903808593750E+001,8.0313903808593750E+001,2.0631368637084961E+001
38.16,7.9813896179199219E+001,7.9813896179199219E+001,2.1131370544433594E+001
38.28,7.9480560302734375E+001,7.9480560302734375E+001,2.1464704513549805E+001
38.4,7.9147224426269531E+001,7.9147224426269531E+001,2.1798038482666016E+001
38.52,7.8647216796875000E+001,7.8647216796875000E+001,2.2298040390014648E+001
38.64,7.8313880920410156E+001,7.8313880920410156E+001,2.2631374359130859E+001
38.76,7.7813873291015625E+001,7.7813873291015625E+001,2.3131376266479492E+001
38.88,7.7480537414550781E+001,7.7480537414550781E+001,2.3464710235595703E+001
39,7.7147201538085937E+001,7.7147201538085937E+001,2.3798046112060547E+001
39.12,7.6647193908691406E+001,7.6647193908691406E+001,2.4298046112060547E+001
39.24,7.6313858032226563E+001,7.6313858032226563E+001,2.4631381988525391E+001
39.36,7.5813850402832031E+001,7.5813850402832031E+001,2.5131381988525391E+001
39.48,7.5480514526367188E+001,7.5480514526367188E+001,2.5464717864990234E+001
39.6,7.5147171020507812E+001,7.5147171020507812E+001,2.5798049926757813E+001
39.72,7.4647171020507813E+001,7.4647171020507813E+001,2.6298046112060547E+001
39.84,7.4313827514648438E+001,7.4313827514648438E+001,2.6631378173828125E+001
39.96,7.3813827514648437E+001,7.3813827514648437E+001,2.7131374359130859E+001
40.08,7.3480484008789063E+001,7.3480484008789063E+001,2.7464706420898438E+001
40.2,7.3147148132324219E+001,7.3147148132324219E+001,2.7798038482666016E+001
40.32,7.2647140502929688E+001,7.2647140502929688E+001,2.8298034667968750E+001
40.44,7.2313804626464844E+001,7.2313804626464844E+001,2.8631366729736328E+001
40.56,7.1813796997070312E+001,7.1813796997070312E+001,2.9131362915039063E+001
40.68,7.1480461120605469E+001,7.1480461120605469E+001,2.9464694976806641E+001
40.8,7.1147125244140625E+001,7.1147125244140625E+001,2.9798025131225586E+001
40.92,7.0647117614746094E+001,7.0647117614746094E+001,3.0298023223876953E+001
41.04,7.0313781738281250E+001,7.0313781738281250E+001,3.0631353378295898E+001
41.16,6.9813774108886719E+001,6.9813774108886719E+001,3.1131351470947266E+001
41.28,6.9480438232421875E+001,6.9480438232421875E+001,3.1464681625366211E+001
41.4,6.9147102355957031E+001,6.9147102355957031E+001,3.1798013687133789E+001
41.52,6.8647094726562500E+001,6.8647094726562500E+001,3.2298011779785156E+001
41.64,6.8313758850097656E+001,6.8313758850097656E+001,3.2631340026855469E+001
