"time","Piston.body.r_0[1]","Piston.body.r_0[2]","Piston.body.r_0[3]","Inertia.w"
0.327,1.4999999999999999E-001,2.4009460493409804E-001,0.0000000000000000E+000,2.5009941028586292E+002
0.328,1.4999999999999999E-001,2.6007486300341764E-001,0.0000000000000000E+000,2.3454938319220642E+002
0.329,1.4999999999999999E-001,2.8253683067260349E-001,0.0000000000000000E+000,2.2260274469467973E+002
0.33,1.4999999999999999E-001,3.0637091875814154E-001,0.0000000000000000E+000,2.1619705961653474E+002
0.331,1.4999999999999999E-001,3.3050260053034364E-001,0.0000000000000000E+000,2.1633362047234007E+002
0.332,1.4999999999999999E-001,3.5380645436920077E-001,0.0000000000000000E+000,2.2387588991984549E+002
0.333,1.4999999999999999E-001,3.7482881310692573E-001,0.0000000000000000E+000,2.3967602662489116E+002
0.334,1.4999999999999999E-001,3.9127650158364635E-001,0.0000000000000000E+000,2.6217740024939326E+002
0.335,1.4999999999999999E-001,3.9961308466812751E-001,0.0000000000000000E+000,2.7947237275051958E+002
0.336,1.4999999999999999E-001,3.9681515582746751E-001,0.0000000000000000E+000,2.7352076193894868E+002
0.337,1.4999999999999999E-001,3.8395268078730060E-001,0.0000000000000000E+000,2.5264205023876556E+002
0.338,1.4999999999999999E-001,3.6463611780097616E-001,0.0000000000000000E+000,2.3442006489806406E+002
0.339,1.4999999999999999E-001,3.4176030753856645E-001,0.0000000000000000E+000,2.2445015875378346E+002
0.34,1.4999999999999999E-001,3.1715271368280784E-001,0.0000000000000000E+000,2.2276411553173162E+002
0.341,1.4999999999999999E-001,2.9213442375142551E-001,0.0000000000000000E+000,2.2868915908910046E+002
0.342,1.4999999999999999E-001,2.6793103813998681E-001,0.0000000000000000E+000,2.4144848964929687E+002
0.343,1.4999999999999999E-001,2.4586601307083164E-001,0.0000000000000000E+000,2.5927238751311108E+002
0.344,1.4999999999999999E-001,2.2729866975139776E-001,0.0000000000000000E+000,2.7850146527451619E+002
0.345,1.4999999999999999E-001,2.1329016108154231E-001,0.0000000000000000E+000,2.9462893664926344E+002
0.346,1.4999999999999999E-001,2.0429377475072746E-001,0.0000000000000000E+000,3.0500499217221602E+002
0.347,1.4999999999999999E-001,2.0026632563259736E-001,0.0000000000000000E+000,3.0948126240188566E+002
0.348,1.4999999999999999E-001,2.0106894587930255E-001,0.0000000000000000E+000,3.0860318443681263E+002
0.349,1.4999999999999999E-001,2.0673641733633072E-001,0.0000000000000000E+000,3.0228026686514335E+002
0.35,1.4999999999999999E-001,2.1742583192522352E-001,0.0000000000000000E+000,2.9014464929018959E+002
0.351,1.4999999999999999E-001,2.3308375995741332E-001,0.0000000000000000E+000,2.7321346257973130E+002
0.352,1.4999999999999999E-001,2.5310482180985733E-001,0.0000000000000000E+000,2.5503027404861345E+002
0.353,1.4999999999999999E-001,2.7635712072093249E-001,0.0000000000000000E+000,2.4004362500810802E+002
0.354,1.4999999999999999E-001,3.0151069732387947E-001,0.0000000000000000E+000,2.3129047183824400E+002
0.355,1.4999999999999999E-001,3.2726108154103717E-001,0.0000000000000000E+000,2.3028320897868807E+002
0.356,1.4999999999999999E-001,3.5226929325441625E-001,0.0000000000000000E+000,2.3814142898250381E+002
0.357,1.4999999999999999E-001,3.7482031800428550E-001,0.0000000000000000E+000,2.5600416845415049E+002
0.358,1.4999999999999999E-001,3.9214664419879353E-001,0.0000000000000000E+000,2.8188730677958370E+002
0.359,1.4999999999999999E-001,3.9991580216186851E-001,0.0000000000000000E+000,2.9955403471279425E+002
0.36,1.4999999999999999E-001,3.9487824786246739E-001,0.0000000000000000E+000,2.8820162512901351E+002
0.361,1.4999999999999999E-001,3.7916113801258999E-001,0.0000000000000000E+000,2.6350601323834184E+002
0.362,1.4999999999999999E-001,3.5715520148582125E-001,0.0000000000000000E+000,2.4504219049456475E+002
0.363,1.4999999999999999E-001,3.3195019989572899E-001,0.0000000000000000E+000,2.3688548918832990E+002
0.364,1.4999999999999999E-001,3.0546879116846026E-001,0.0000000000000000E+000,2.3840140975351954E+002
0.365,1.4999999999999999E-001,2.7920421945107998E-001,0.0000000000000000E+000,2.4866862074213509E+002
0.366,1.4999999999999999E-001,2.5465475273594657E-001,0.0000000000000000E+000,2.6621061717634120E+002
0.367,1.4999999999999999E-001,2.3342854255172293E-001,0.0000000000000000E+000,2.8750329991495886E+002
0.368,1.4999999999999999E-001,2.1695356135550162E-001,0.0000000000000000E+000,3.0699447005913441E+002
0.369,1.4999999999999999E-001,2.0600295540191260E-001,0.0000000000000000E+000,3.2034964989298516E+002
0.37,1.4999999999999999E-001,2.0064290435509582E-001,0.0000000000000000E+000,3.2666330322758921E+002
0.371,1.4999999999999999E-001,2.0069920964359428E-001,0.0000000000000000E+000,3.2659874631086637E+002
0.372,1.4999999999999999E-001,2.0617485531869986E-001,0.0000000000000000E+000,3.2018727678449602E+002
0.373,1.4999999999999999E-001,2.1725061732171486E-001,0.0000000000000000E+000,3.0694514176412639E+002
0.374,1.4999999999999999E-001,2.3387949563017338E-001,0.0000000000000000E+000,2.8803367449173248E+002
0.375,1.4999999999999999E-001,2.5533854214727703E-001,0.0000000000000000E+000,2.6788304793578271E+002
0.376,1.4999999999999999E-001,2.8026832047762817E-001,0.0000000000000000E+000,2.5196884011229284E+002
0.377,1.4999999999999999E-001,3.0709932614860969E-001,0.0000000000000000E+000,2.4381584944098037E+002
