"time","revolute1.w","revolute2.w"
2.424,1.0654851514909097E-001,-1.3882573672179065E+001
2.43,-9.8302102863075114E-002,-1.3255184527422239E+001
2.436,-3.3677570665068229E-001,-1.2546196728048447E+001
2.442,-5.9026651524210805E-001,-1.1804126514642720E+001
2.448,-8.4554740373090054E-001,-1.1062194506889947E+001
2.454,-1.0940439625665237E+000,-1.0340694308509567E+001
2.46,-1.3306118483017042E+000,-9.6506342595080117E+000
2.466,-1.5524108686238474E+000,-8.9969977180656411E+000
2.472,-1.7580590075807294E+000,-8.3811430946693779E+000
2.478,-1.9470585851795887E+000,-7.8023985919334260E+000
2.484,-2.1194295382572350E+000,-7.2590566603761353E+000
2.49,-2.2754840226069910E+000,-6.7489657293648957E+000
2.496,-2.4156919084677537E+000,-6.2698670922563062E+000
2.502,-2.5406026661837169E+000,-5.8195763535270357E+000
2.508,-2.6508013534629904E+000,-5.3960726296746309E+000
2.514,-2.7468847639467486E+000,-4.9975344044961680E+000
2.52,-2.8294491925581511E+000,-4.6223455042391182E+000
2.526,-2.8990846599459799E+000,-4.2690851361920314E+000
2.532,-2.9563725309717905E+000,-3.9365101594837730E+000
2.538,-3.0018847436986271E+000,-3.6235342912733177E+000
2.544,-3.0361836452156243E+000,-3.3292068873607397E+000
2.55,-3.0598219018877324E+000,-3.0526927153836274E+000
2.556,-3.0733422330994018E+000,-2.7932534228159049E+000
2.562,-3.0772768821362311E+000,-2.5502309873512070E+000
2.568,-3.0721468302641197E+000,-2.3230332018793303E+000
2.574,-3.0584608079492326E+000,-2.1111211171393460E+000
2.58,-3.0367141777185909E+000,-1.9139982986444379E+000
2.586,-3.0073877672172742E+000,-1.7312017246136220E+000
2.592,-2.9709467254604562E+000,-1.5622941429402302E+000
2.598,-2.9278394645268588E+000,-1.4068577084975147E+000
2.604,-2.8784967358416185E+000,-1.2644887319039346E+000
2.61,-2.8233308765750076E+000,-1.1347933840519671E+000
2.616,-2.7627352486819272E+000,-1.0173842153715782E+000
2.622,-2.6970838814076177E+000,-9.1187736385582085E-001
2.628,-2.6267313180519336E+000,-8.1789034067763799E-001
2.634,-2.5520126595643404E+000,-7.3504029639447854E-001
2.64,-2.4732437911316150E+000,-6.6294268404523493E-001
2.646,-2.3907217732190307E+000,-6.0121024775851983E-001
2.652,-2.3047253753720178E+000,-5.4945227673480446E-001
2.658,-2.2155157292828749E+000,-5.0727407459718887E-001
2.664,-2.1233370769687294E+000,-4.7427660311268449E-001
2.67,-2.0284175901851227E+000,-4.5005626717505726E-001
2.676,-1.9309702382198985E+000,-4.3420481473612715E-001
2.682,-1.8311936827966484E+000,-4.2630933111468372E-001
2.688,-1.7292731808099562E+000,-4.2595231185406479E-001
2.694,-1.6253814778820570E+000,-4.3271180210551302E-001
2.7,-1.5196796781608488E+000,-4.4616159345911532E-001
2.706,-1.4123180782811569E+000,-4.6587147130979067E-001
2.712,-1.3034369559125680E+000,-4.9140750732081739E-001
2.718,-1.1931673057617576E+000,-5.2233239242453966E-001
2.724,-1.0816315182426173E+000,-5.5820580617432625E-001
2.73,-9.6894399824281574E-001,-5.9858481822953369E-001
2.736,-8.5521172347894969E-001,-6.4302431741109067E-001
2.742,-7.4053474382994833E-001,-6.9107746320196695E-001
2.748,-6.2500662476162072E-001,-7.4229615387258530E-001
2.754,-5.0871483950044083E-001,-7.9623150466934411E-001
2.76,-3.9174111598191891E-001,-8.5243432879129155E-001
