"time","yRising","yFalling","yEither"
6.9,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.92,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.94,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.96,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
6.98,9.8662759203982631E-001,-7.6825466132539977E-001,9.8662759203982631E-001
7,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.02,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.04,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.06,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.08,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.1,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.12,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.14,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.16,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.18,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.2,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.22,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.24,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.26,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.28,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.3,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.32,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.34,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.36,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.38,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.4,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.42,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.44,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.46,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.48,9.8662759203982631E-001,-5.2155100208232252E-001,-5.2155100208232252E-001
7.5,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.52,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.54,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.56,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
7.58,-3.0481062110861179E-001,-5.2155100208232252E-001,-3.0481062110861179E-001
