"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
8.28,8.8153970616129751E+000,6.2572893637622293E+000,3.1895520000798250E-001,-3.3210112499939384E+000
8.3,8.8199122656131337E+000,6.1890052387623893E+000,1.2275520000809124E-001,-3.5172112499938293E+000
8.32,8.8205034696132980E+000,6.1167971137625532E+000,-7.3444799991800022E-002,-3.7134112499937202E+000
8.34,8.8171706736134663E+000,6.0406649887627220E+000,-2.6964479999169133E-001,-3.9096112499936111E+000
8.36,8.8099138776136350E+000,5.9606088637628964E+000,-4.6584479999158224E-001,-4.1058112499935024E+000
8.38,8.7987330816138094E+000,5.8766287387630731E+000,-6.6204479999147314E-001,-4.3020112499933933E+000
8.4,8.7836282856139896E+000,5.7887246137632546E+000,-8.5824479999136405E-001,-4.4982112499932843E+000
8.42,8.7645994896141737E+000,5.6968964887634410E+000,-1.0544447999912550E+000,-4.6944112499931752E+000
8.44,8.7416466936143635E+000,5.6011443637636322E+000,-1.2506447999911459E+000,-4.8906112499930661E+000
8.46,8.7147698976145573E+000,5.5014682387638265E+000,-1.4468447999910368E+000,-5.0868112499929570E+000
8.48,8.6839691016147569E+000,5.3978681137640256E+000,-1.6430447999909277E+000,-5.2830112499928479E+000
8.5,8.6492443056149568E+000,5.2903439887642296E+000,-1.8392447999908186E+000,-5.4792112499927388E+000
8.52,8.6105955096151607E+000,5.1788958637644376E+000,-2.0354447999907097E+000,-5.6754112499926297E+000
8.54,8.5680227136153704E+000,5.0635237387646495E+000,-2.2316447999906006E+000,-5.8716112499925206E+000
8.56,8.5215259176155858E+000,4.9442276137648671E+000,-2.4278447999904915E+000,-6.0678112499924115E+000
8.58,8.4711051216158051E+000,4.8210074887650887E+000,-2.6240447999903824E+000,-6.2640112499923024E+000
8.6,8.4167603256160302E+000,4.6938633637653133E+000,-2.8202447999902733E+000,-6.4602112499921933E+000
8.62,8.3584915296162592E+000,4.5627952387655428E+000,-3.0164447999901642E+000,-6.6564112499920842E+000
8.64,8.2962987336164904E+000,4.4278031137657781E+000,-3.2126447999900551E+000,-6.8526112499919751E+000
8.66,8.2301819376167256E+000,4.2888869887660164E+000,-3.4088447999899461E+000,-7.0488112499918660E+000
