"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
4.921,7.9338786024466312E-001,5.8985258014849569E+000,7.9338786024466312E-001,6.7774388194676121E+001,-5.8912341342962349E-001,-1.9716346871039006E+000
4.941,7.7386202607659671E-001,5.9142079193701438E+000,7.7386202607659671E-001,6.9147193534974761E+001,-5.9679351424417237E-001,-1.9674490545649319E+000
4.961,7.5442664404963478E-001,5.9295003669121877E+000,7.5442664404963478E-001,7.0548111177674883E+001,-6.0422205083592007E-001,-1.9628707457214656E+000
4.981,7.3508948805745300E-001,5.9444050270686368E+000,7.3508948805745300E-001,7.1977706839753537E+001,-6.1140610844559340E-001,-1.9579017049486303E+000
5,7.1681721697928658E-001,5.9582071206898473E+000,7.1681721697928658E-001,7.3362911126925368E+001,-6.1800194665379904E-001,-1.9528211102868749E+000
5.02,6.9769380984357421E-001,5.9723615979788285E+000,6.9769380984357421E-001,7.4850098939535485E+001,-6.2470125379355879E-001,-1.9470963174306823E+000
5.04,6.7869132111989694E-001,5.9861347431726424E+000,6.7869132111989694E-001,7.6367700142282544E+001,-6.3114805093992832E-001,-1.9409874229997439E+000
5.06,6.5981735155038079E-001,5.9995290469295197E+000,6.5981735155038079E-001,7.7916326299611455E+001,-6.3733981171823573E-001,-1.9344969749868426E+000
5.08,6.4107945047120440E-001,6.0125471514392217E+000,6.4107945047120440E-001,7.9496601171019023E+001,-6.4327411072966112E-001,-1.9276276719305163E+000
5.1,6.2248511279296381E-001,6.0251918493661769E+000,6.2248511279296381E-001,8.1109160958353911E+001,-6.4894862454187430E-001,-1.9203823618767017E+000
5.12,6.0404177600280895E-001,6.0374660827324886E+000,6.0404177600280895E-001,8.2754654558170614E+001,-6.5436113263848006E-001,-1.9127640412797589E+000
5.14,5.8575681718954853E-001,6.0493729417411322E+000,5.8575681718954853E-001,8.4433743819239339E+001,-6.5950951832690186E-001,-1.9047758538433412E+000
5.16,5.6763755009291139E-001,6.0609156635399257E+000,5.6763755009291139E-001,8.6147103805314927E+001,-6.6439176960434476E-001,-1.8964210893015903E+000
5.18,5.4969122217814903E-001,6.0720976309267245E+000,5.4969122217814903E-001,8.7895423063271025E+001,-6.6900597998150391E-001,-1.8877031821411463E+000
5.2,5.3192501173714646E-001,6.0829223709963340E+000,5.3192501173714646E-001,8.9679403896706901E+001,-6.7335034926369108E-001,-1.8786257102645187E+000
5.22,5.1434602501720039E-001,6.0933935537297241E+000,5.1434602501720039E-001,9.1499762645137139E+001,-6.7742318428907966E-001,-1.8691923935953498E+000
5.24,4.9696129337861511E-001,6.1035149905260884E+000,4.9696129337861511E-001,9.3357229968876169E+001,-6.8122289962377580E-001,-1.8594070926261570E+000
5.26,4.7977777048225317E-001,6.1132906326783294E+000,4.7977777048225317E-001,9.5252551139732105E+001,-6.8474801821344700E-001,-1.8492738069091370E+000
5.28,4.6280232950816214E-001,6.1227245697925934E+000,4.6280232950816214E-001,9.7186486337626690E+001,-6.8799717199125465E-001,-1.8387966734906609E+000
5.3,4.4604176040639593E-001,6.1318210281524896E+000,4.4604176040639593E-001,9.9159810953260063E+001,-6.9096910244185339E-001,-1.8279799652900921E+000
5.32,4.2950276718112351E-001,6.1405843690286295E+000,4.2950276718112351E-001,1.0117331589694204E+002,-6.9366266112123842E-001,-1.8168280894235895E+000
5.34,4.1319196520911811E-001,6.1490190869341754E+000,4.1319196520911811E-001,1.0322780791371366E+002,-6.9607681013223976E-001,-1.8053455854735874E+000
5.36,3.9711587859369435E-001,6.1571298078270962E+000,3.9711587859369435E-001,1.0532410990488513E+002,-6.9821062255548005E-001,-1.7935371237046445E+000
5.38,3.8128093755515319E-001,6.1649212872598502E+000,3.8128093755515319E-001,1.0746306125611919E+002,-7.0006328283562980E-001,-1.7814075032264030E+000
5.4,3.6569347585878048E-001,6.1723984084772141E+000,3.6569347585878048E-001,1.0964551817219117E+002,-7.0163408712280906E-001,-1.7689616501043883E+000
5.42,3.5035972828142475E-001,6.1795661804630688E+000,3.5035972828142475E-001,1.1187235401856012E+002,-7.0292244356901012E-001,-1.7562046154194348E+000
5.44,3.3528582811766944E-001,6.1864297359368594E+000,3.3528582811766944E-001,1.1414445966988701E+002,-7.0392787257942613E-001,-1.7431415732765121E+000
5.46,3.2047780472659765E-001,6.1929943293005758E+000,3.2047780472659765E-001,1.1646274386564036E+002,-7.0465000701858815E-001,-1.7297778187637645E+000
5.48,3.0594158112012798E-001,6.1992653345370714E+000,3.0594158112012798E-001,1.1882813357293098E+002,-7.0508859237123822E-001,-1.7161187658625949E+000
5.5,2.9168297159388940E-001,6.2052482430605371E+000,2.9168297159388940E-001,1.2124157435672100E+002,-7.0524348685787897E-001,-1.7021699453096377E+000
5.52,2.7770767940158014E-001,6.2109486615199998E+000,2.7770767940158014E-001,1.2370403075755544E+002,-7.0511466150495439E-001,-1.6879370024114795E+000
5.54,2.6402129447374234E-001,6.2163723095567551E+000,2.6402129447374234E-001,1.2621648667696722E+002,-7.0470220016964857E-001,-1.6734256948130302E+000
5.56,2.5062929118186444E-001,6.2215250175165702E+000,2.5062929118186444E-001,1.2877994577070945E+002,-7.0400629951928717E-001,-1.6586418902204294E+000
5.58,2.3753702614870550E-001,6.2264127241176332E+000,2.3753702614870550E-001,1.3139543184997248E+002,-7.0302726896536116E-001,-1.6435915640794185E+000
5.6,2.2474973610571772E-001,6.2310414740751430E+000,2.2474973610571772E-001,1.3406398929074558E+002,-7.0176553055220459E-001,-1.6282807972101174E+000
5.62,2.1227253579842323E-001,6.2354174156835027E+000,2.1227253579842323E-001,1.3678668345148716E+002,-7.0022161880037204E-001,-1.6127157733991577E+000
5.64,2.0011041594058457E-001,6.2395467983570869E+000,2.0011041594058457E-001,1.3956460109926985E+002,-6.9839618050478758E-001,-1.5969027769501503E+000
5.66,1.8826824121798535E-001,6.2434359701305482E+000,1.8826824121798535E-001,1.4239885084457126E+002,-6.9628997448774743E-001,-1.5808481901934703E+000
5.68,1.7675074834262117E-001,6.2470913751197079E+000,1.7675074834262117E-001,1.4529056358488290E+002,-6.9390387130688091E-001,-1.5645584909563728E+000
5.7,1.6556254415807756E-001,6.2505195509439746E+000,1.6556254415807756E-001,1.4824089295731537E+002,-6.9123885291819276E-001,-1.5480402499944530E+000
5.72,1.5470810379685429E-001,6.2537271261114000E+000,1.5470810379685429E-001,1.5125101580037986E+002,-6.8829601229432436E-001,-1.5313001283854930E+000
5.74,1.4419176889037194E-001,6.2567208173673547E+000,1.4419176889037194E-001,1.5432213262513025E+002,-6.8507655299818926E-001,-1.5143448748867405E+000
5.76,1.3401774583237727E-001,6.2595074270079198E+000,1.3401774583237727E-001,1.5745546809585366E+002,-6.8158178871216279E-001,-1.4971813232566928E+000
5.78,1.2419010409644153E-001,6.2620938401590669E+000,1.2419010409644153E-001,1.6065227152050176E+002,-6.7781314272301263E-001,-1.4798163895424570E+000
5.8,1.1471277460822563E-001,6.2644870220226867E+000,1.1471277460822563E-001,1.6391381735105702E+002,-6.7377214736278623E-001,-1.4622570693337882E+000
5.82,1.0558954817316214E-001,6.2666940150906179E+000,1.0558954817316214E-001,1.6724140569403545E+002,-6.6946044340587674E-001,-1.4445104349849061E+000
5.84,9.6824073960183735E-002,6.2687219363277258E+000,9.6824073960183735E-002,1.7063636283132712E+002,-6.6487977942251852E-001,-1.4265836328052108E+000
5.86,8.8419858042104185E-002,6.2705779743252252E+000,8.8419858042104185E-002,1.7410004175158403E+002,-6.6003201108896992E-001,-1.4084838802200341E+000
5.88,8.0380261993235960E-002,6.2722693864253332E+000,8.0380261993235960E-002,1.7763382269236558E+002,-6.5491910045466628E-001,-1.3902184629025585E+000
5.9,7.2708501544805432E-002,6.2738034958184326E+000,7.2708501544805432E-002,1.8123911369325887E+002,-6.4954311516663832E-001,-1.3717947318780721E+000
5.92,6.5407645298703229E-002,6.2751876886138920E+000,6.5407645298703229E-002,1.8491735116019342E+002,-6.4390622765151129E-001,-1.3532201006017157E+000
